,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,Total Value INR,Duty Paid INR,Grand Total INR,YoY Growth %,,"In the following Chart , We have a Highest Slaes in 2023 as comparing with the other years",,,,,,,,,,
2017,158243241.8,32749950,14207.61388,152%,,,,,,,,,,,,
2018,334226491.3,82490491.7,35759.06356,176%,,,,,,,,,,,,
2019,421402962.7,104022203.5,98761.88817,-20%,,,,,,,,,,,,
2020,349289501.6,120306630.7,79024.19343,16%,,,,,,,,,,,,
2021,487397812.2,181603576.5,91376.89775,60%,,,,,,,,,,,,
2022,754323774,280443504.1,146030.2581,41%,,,,,,,,,,,,
2023,870407396.9,321521809.1,206435.1947,-51%,,,,,,,,,,,,
2024,425518036.1,160749491.5,100884.5603,-33%,,,,,,,,,,,,
2025,393129171.7,146129162.7,67898.83203,,,,,,,,,,,,,
Grand Total,4193938388,1430016820,840378.5019,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
