Sum of Grand Total_INR,Year ,,,,,,,,,
IEC,2017,2018,2019,2020,2021,2022,2023,2024,2025,Grand Total
0301049751,14207.61388,35759.06356,98761.88817,79024.19343,91376.89775,146030.2581,206435.1947,100884.5603,67898.83203,840378.5019
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,KPI,Value,,,,,,
,,,Total Import Value (INR),840378.5019,,,,,,
,,,Highest Import Year,2023,,,,,,
,,,Lowest Import Year,2017,,,,,,
,,,Total Duty Paid (INR),1430016820,,,,,,
,,,Average Duty %,1430016820,,,,,,
