PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure2,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR,Grand Total_INR,Year,Main Category,Sub Category
INNSA1,2025-10-28,0301049751,73239990,TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS) TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS),STEEL,STEEL CUTLERY HOLDER,TH5170,600,600,PCS,,PCS,290,KGS,401.7253103,116500.34,4.529033938,1313.419842,32736.6,406.2543442,2025,Household Steel Items,Holder
INNSA1,2025-10-28,0301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 P,STEEL,STEEL SCRUBBER 2PCS SET,8001-2,,336000,SETS,,SET,9800,KGS,440.6022184,4317901.74,4.967330534,48679.83923,1898149.5,445.5695489,2025,Steel Scrubbers,Scrubber
INNSA1,2025-10-23,0301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,232 PCS/CNY:101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,2",STEEL,STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020),RYX-02-020,,1232,PCS, ,PCS,4004,KGS,408.8936638,1637210.23,4.609849649,18457.83799,460056,413.5035135,2025,Household Steel Items,Cloth Stand
INNSA1,2025-10-13,0301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS,STEEL,STEEL TEA STRAINER BIG,SB-12,,6336,PCS,0.973,PCS,1548.8,KGS,378.4578448,586155.51,4.219151001,6534.62107,164709.7,382.6769958,2025,Household Steel Items,Tea Strainer
INNSA1,2025-10-13,0301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER P,STEEL,STEEL TEA STRAINER BIG,SB-12,,43038,PCS,0.9718,PCS,10042.2,KGS,399.7396746,4014265.76,4.456406628,44752.12664,1128008.7,404.1960812,2025,Household Steel Items,Tea Strainer
INNSA1,2025-10-08,0301049751,73239990,STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/CNY:7.45 PER PCS)STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/:7.45,HANGER,HANGER WITH HOOK (SL-89),SL-89,70056,70056,PCS, ,PCS,15568,KGS,432.1581764,6727838.49,4.817816905,75003.77358,1890522.7,436.9759933,2025,Household Steel Items,Hanger
INNSA1,2025-10-06,0301049751,73239990,STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PERSET)STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PER,HANGER,HANGER 10PCS SET (AM-969),AM-969,,480,SET,0.819,SET,380,KGS,100.4420789,38167.99,1.119755618,425.5071349,10725.3,101.5618346,2025,Household Steel Items,Hanger
INNSA1,2025-10-01,0301049751,73239990,AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS) AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS),STEEL,STEEL FRUIT BASKET,AM-967,,400,PCS,1.031,PCS,460,KGS,85.37782609,39273.8,0.960920946,442.0236353,11036,86.33874703,2025,Household Steel Items,Basket
INNSA1,2025-10-01,0301049751,73239990,AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS) AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS),STEEL,STEEL FRUIT BASKET,AM-966,,400,PCS,1.017,PCS,310,KGS,124.9693226,38740.49,1.406520232,436.0212718,10886.1,126.3758428,2025,Household Steel Items,Basket
INNSA1,2025-10-01,0301049751,73239990,AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PERPCS)AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PER,STEEL,STEEL SPOON & FORK HOLDER,AM-965,,480,PCS,0.734,PCS,168,KGS,199.7157143,33552.24,2.247785192,377.6279122,9428.1,201.9634995,2025,Household Steel Items,Holder
INNSA1,2025-10-01,0301049751,73231000,8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 P,STEEL,STEEL SCRUBBER 2 PCS SET,8001-2,,336000,SETS,0.139,SET,9800,KGS,456.1253898,4470028.82,5.13365661,50309.83478,1965024.7,461.2590464,2025,Steel Scrubbers,Scrubber
INNSA1,2025-09-27,0301049751,73231000,OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228PER PCS)OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228,STEEL,STEEL SCRUBBER 6PCS SET,OKS-4156,,93360,PCS, ,PCS,7496.03,KGS,263.5713784,1975738.96,2.966475841,22236.7919,868534.9,266.5378543,2025,Steel Scrubbers,Scrubber
INNSA1,2025-09-27,0301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 P,STEEL,STEEL SCRUBBER 2PCS SET,8001-2,,168000,SETS,0.139,SET,4900,KGS,442.0729367,2166157.39,4.975497318,24379.93686,952242.8,447.0484341,2025,Steel Scrubbers,Scrubber
INNSA1,2025-09-24,0301049751,73239990,AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS) AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS),STEEL,STEEL DRAINER,AM-321,28752,28752,PCS,0.7050,PCS,3953.4,KGS,492.7319699,1947966.57,5.545660889,21924.21576,547378.6,498.2776308,2025,Household Steel Items,Other
INNSA1,2025-09-24,0301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.36 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.,STEEL,STEEL HOOK 3PCS SET (2628),2628,,166608,SET,0.36,SET,5646.16,KGS,971.5058004,5485277.19,10.93422398,61736.37805,1541362.8,982.4400244,2025,Household Steel Items,Other
INNSA1,2025-09-24,0301049751,73239990,NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS) NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS),STEEL,STEEL TEA STRAINER,NP-55,50400,50400,PCS,0.2710,PCS,2310,KGS,568.2142554,1312574.93,6.395208277,14772.93112,368833.6,574.6094637,2025,Household Steel Items,Tea Strainer
